date,open,high,low,close,volume,sma5,sma10,sma15,sma20,ema5,ema10,ema15,ema20,upperband,middleband,lowerband,HT_TRENDLINE,KAMA10,KAMA20,KAMA30,SAR,TRIMA5,TRIMA10,TRIMA20,ADX5,ADX10,ADX20,APO,CCI5,CCI10,CCI15,macd510,macd520,macd1020,macd1520,macd1226,MOM10,MOM15,MOM20,ROC5,ROC10,ROC20,PPO,RSI14,RSI8,slowk,slowd,fastk,fastd,fastksr,fastdsr,ULTOSC,WILLR,ATR,Trange,TYPPRICE,HT_DCPERIOD,BETA,year,month,day,weekday,hour,minute
2016-05-16T08:40:00.000Z,1277.95,1278.55,1277.0,1277.63,15776,1277.228,1275.889,1274.425333,1272.731,1277.069117,1275.770999,1274.557694,1273.540417,1278.32901,1277.228,1276.12699,1271.41399,1275.510002,1273.982091,1272.731101,1406.0,1277.268889,1275.951667,1272.804909,59.93123833,41.90738728,28.91939331,3.621730769,105.3403756,100.6628788,106.5242494,1.298117648,3.528699049,2.2305814,1.017276654,2.716711039,5.73,9.4,10.2,0.170920067,0.450507115,0.804778173,0.284833454,72.46516304,76.49040048,85.23118935,89.7720438,70.03257329,85.23118935,41.19142396,78.82421128,73.98128599,-8.975609756,1.912621322,1.55,1277.726667,25.83743289,-0.208169504,2016,5,16,2,8,40
2016-05-16T08:45:00.000Z,1277.63,1278.0,1277.03,1277.85,4970,1277.532,1276.249,1274.843333,1273.2885,1277.329411,1276.148999,1274.969232,1273.950854,1278.244,1277.532,1276.82,1271.524179,1275.790204,1274.705291,1273.212079,1406.0,1277.587778,1276.448667,1273.411818,63.56202242,43.70141033,29.73672442,3.772307692,62.16931217,81.80428135,91.45591966,1.180411937,3.378557111,2.198145174,1.018378457,2.721794617,3.6,6.27,11.15,0.119091458,0.282519129,0.880239994,0.296577266,72.9760305,77.3497117,80.4438643,86.00905606,72.54901961,80.4438643,26.90570612,56.03237669,71.46323833,-6.829268293,1.845291228,0.97,1277.626667,28.09775118,0.40046958,2016,5,16,2,8,45
2016-05-16T08:50:00.000Z,1277.85,1278.43,1277.58,1278.0,5592,1277.706,1276.749,1275.243333,1273.7895,1277.552941,1276.485545,1275.348078,1274.336487,1278.363097,1277.706,1277.048903,1271.526442,1276.389321,1275.278048,1273.707732,1406.0,1277.732222,1276.905333,1273.995545,67.32708863,45.63072109,30.60923218,3.914487179,104.560456,90.89233038,92.23916003,1.067395977,3.216453812,2.149057835,1.011591451,2.706725686,5.0,6.0,10.02,0.068121491,0.392772977,0.790233284,0.307666791,73.33923531,77.97696499,73.58539869,79.75348411,78.17460317,73.58539869,46.03450708,38.04387905,71.81014624,-5.365853659,1.774198997,0.85,1278.003333,30.69083155,0.53143652,2016,5,16,2,8,50
2016-05-16T08:55:00.000Z,1278.0,1279.55,1277.5,1278.6,9724,1278.006,1277.194,1275.748,1274.328,1277.90196,1276.869991,1275.754569,1274.742536,1278.652046,1278.006,1277.359954,1271.542489,1276.958517,1275.902663,1274.251574,1406.0,1277.928889,1277.274333,1274.574091,71.71268981,48.05127138,31.66989652,3.824294872,138.8888889,117.4343735,99.6630621,1.031969333,3.159424716,2.127455383,1.012032791,2.711936915,4.45,7.57,10.77,0.117453606,0.349252443,0.849482975,0.300471041,74.79830767,80.4517073,73.7401724,75.92314513,70.49689441,73.7401724,100.0,57.64673773,68.7559181,-10.98265896,1.793899069,2.05,1278.55,33.08367347,0.031743369,2016,5,16,2,8,55
2016-05-16T09:00:00.000Z,1278.9,1281.43,1278.9,1279.0,22556,1278.216,1277.504,1276.282667,1274.903,1278.267974,1277.257265,1276.160247,1275.148009,1279.230345,1278.216,1277.201655,1271.570865,1277.393654,1276.54975,1274.752835,1406.0,1278.17,1277.58,1275.123364,76.18819915,51.00318841,33.00095912,3.910064103,145.1612903,172.2772277,130.473891,1.010708174,3.119965112,2.109256938,1.012238938,2.717023355,3.1,8.02,11.5,0.082162839,0.24296575,0.90729783,0.307109893,75.75108194,81.99335881,64.60607482,70.64388197,45.14672686,64.60607482,100.0,82.01150236,58.0769055,-23.36538462,1.867906278,2.83,1279.776667,35.48271429,0.424417536,2016,5,16,2,9,0
2016-05-16T09:05:00.000Z,1279.0,1279.95,1278.58,1279.93,4330,1278.676,1277.952,1276.818,1275.488,1278.821982,1277.743217,1276.631467,1275.603436,1280.17867,1278.676,1277.17333,1271.559796,1278.262531,1277.263222,1275.408524,1406.0,1278.62,1277.894,1275.637,76.37678033,52.83864482,34.07954293,3.902115385,70.51961824,123.4735414,112.3492396,1.078765228,3.218546141,2.139780913,1.028030246,2.764233262,4.48,8.03,11.7,0.18002082,0.351248579,0.922545595,0.306367757,77.84799752,85.11296928,60.51757073,66.28793931,65.90909091,60.51757073,100.0,100.0,59.97228049,-14.42307692,1.832341544,1.37,1279.486667,37.72674103,0.395497808,2016,5,16,2,9,5
2016-05-16T09:10:00.000Z,1279.95,1280.5,1276.55,1278.43,10014,1278.792,1278.162,1277.096667,1275.8305,1278.691322,1277.868087,1276.856283,1275.872633,1280.098439,1278.792,1277.485561,1271.553162,1278.275899,1277.384554,1275.658256,1406.0,1278.943333,1278.154667,1276.104091,62.02806344,50.32685346,34.0562155,3.689871795,-39.91626967,34.18155263,67.22046982,0.82323482,2.818688789,1.99545397,0.983650385,2.650061728,2.1,4.18,6.85,0.045388739,0.164534251,0.538699885,0.289607623,67.68190316,64.51125332,49.86013598,58.32792717,38.52459016,49.86013598,0.0,66.66666667,55.15645551,-36.45200486,1.983602862,3.95,1278.493333,39.55304183,0.383208305,2016,5,16,2,9,10
2016-05-16T09:15:00.000Z,1278.43,1280.75,1278.43,1279.85,10548,1279.162,1278.434,1277.553333,1276.223,1279.077548,1278.228435,1277.230498,1276.25143,1280.40814,1279.162,1277.91586,1271.62264,1278.436717,1277.674157,1276.197922,1406.0,1279.233333,1278.426333,1276.552727,51.67960402,48.30148593,34.09139435,3.550769231,59.25925926,105.2673904,112.7320661,0.849113093,2.826118044,1.977004951,0.97906811,2.643687315,2.72,6.85,7.85,0.144757433,0.212977536,0.617138365,0.27857927,71.47901184,71.87621451,57.35221063,55.90997245,67.62295082,57.35221063,37.35071254,45.78357085,57.01806806,-20.65359477,2.007631229,2.32,1279.676667,41.22143829,0.315653515,2016,5,16,2,9,15
2016-05-16T09:20:00.000Z,1280.4,1281.48,1279.08,1281.15,14330,1279.672,1278.839,1278.02,1276.729,1279.768365,1278.759628,1277.720436,1276.71796,1281.521731,1279.672,1277.822269,1271.707284,1278.831912,1278.276685,1276.831361,1406.0,1279.444445,1278.754,1276.991545,46.59220625,47.14652808,34.28928188,3.445897436,132.2780204,133.7850308,141.3871072,1.008736812,3.050404958,2.041668146,1.002475379,2.71226933,4.05,7.0,10.12,0.199436884,0.317124736,0.796204653,0.270244047,74.43982355,76.89342509,66.48460967,57.89898543,93.30628803,66.48460967,66.47509009,34.60860088,58.67998929,-4.411764706,2.03565757,2.4,1280.57,42.69508387,0.396177548,2016,5,16,2,9,20
2016-05-16T09:25:00.000Z,1281.15,1282.4,1279.5,1281.15,23556,1280.102,1279.159,1278.37,1277.2375,1280.22891,1279.194241,1278.149131,1277.140059,1282.118984,1280.102,1278.085016,1271.856584,1279.109784,1278.781397,1277.501085,1406.0,1279.976667,1279.103333,1277.404273,45.75093125,46.85317997,34.67146895,3.268589744,103.0345801,126.6622778,140.1181922,1.03466873,3.088850876,2.054182145,1.009071903,2.735092626,3.2,5.25,10.17,0.168100078,0.250401033,0.800169948,0.256235765,74.43982355,76.89342509,79.85390583,67.89690871,78.63247863,79.85390583,66.47509009,56.76696424,58.94132654,-18.06358382,2.097396315,2.9,1281.016667,43.96708237,0.152633972,2016,5,16,2,9,25
