date,open,high,low,close,volume,sma5,sma10,sma15,sma20,ema5,ema10,ema15,ema20,upperband,middleband,lowerband,HT_TRENDLINE,KAMA10,KAMA20,KAMA30,SAR,TRIMA5,TRIMA10,TRIMA20,ADX5,ADX10,ADX20,APO,CCI5,CCI10,CCI15,macd510,macd520,macd1020,macd1520,macd1226,MOM10,MOM15,MOM20,ROC5,ROC10,ROC20,PPO,RSI14,RSI8,slowk,slowd,fastk,fastd,fastksr,fastdsr,ULTOSC,WILLR,ATR,Trange,TYPPRICE,HT_DCPERIOD,BETA,year,month,day,weekday,hour,minute
2015-06-03T08:50:00.000Z,1303.83,1306.0,1303.83,1305.5,11310,1304.672,1304.67,1306.226667,1307.1145,1304.747614,1305.262788,1305.742938,1306.018347,1306.68394,1304.672,1302.66006,1307.242729,1306.744895,1307.114521,1306.87124,1406.0,1304.332222,1304.666333,1307.176909,43.06881924,33.27244162,16.37010387,-1.635064103,47.83258595,32.136476,-33.41228547,-0.515174157,-1.270733278,-0.755559121,-0.275409433,-0.673270212,-4.5,-5.25,-3.45,0.009192725,-0.34351145,-0.263570037,-0.125082434,48.01163101,48.71869507,46.43626184,45.26834912,74.16020672,46.43626184,94.10140266,38.6754985,57.146704,-54.78723404,2.566728463,2.3,1305.11,26.24491432,0.713761473,2015,6,3,4,8,50
2015-06-03T08:55:00.000Z,1305.5,1306.0,1303.63,1305.25,10336,1304.476,1304.472,1306.046667,1306.8995,1304.915076,1305.260463,1305.681321,1305.945171,1305.965838,1304.476,1302.986162,1307.205526,1306.716076,1307.067294,1306.86265,1406.0,1304.364444,1304.634333,1306.714455,37.67498345,32.36092573,16.45777986,-2.026730769,73.2364028,64.6122481,-32.41320433,-0.345387053,-1.030095371,-0.684708318,-0.263850735,-0.641712373,-1.98,-2.7,-4.3,-0.075025072,-0.151465312,-0.328357069,-0.155044941,47.30030505,47.46694276,58.8886428,47.11246462,74.85714286,58.8886428,87.75975067,60.62038444,59.85281837,-57.44680851,2.55267643,2.37,1304.96,25.7174125,0.355619577,2015,6,3,4,8,55
2015-06-03T09:00:00.000Z,1305.35,1306.5,1304.5,1305.18,21954,1304.726,1304.79,1305.752,1306.7195,1305.003384,1305.245833,1305.618656,1305.872298,1306.184635,1304.726,1303.267365,1307.202628,1306.62722,1307.02716,1306.855568,1406.0,1304.842222,1304.677333,1306.302,30.38851034,30.81220266,16.36650669,-2.425705128,81.79554774,90.07490637,-11.68498471,-0.242449417,-0.868913923,-0.626464506,-0.253642353,-0.615258654,3.18,-4.42,-3.6,0.095864042,0.244239631,-0.275065328,-0.185566869,47.08993061,47.0798564,71.01668237,58.780529,64.03269755,71.01668237,84.13970066,88.66695133,54.10107448,-57.51351351,2.513199542,2.0,1305.393333,25.33678562,0.245683193,2015,6,3,4,9,0
2015-06-03T09:05:00.000Z,1305.55,1306.5,1304.75,1305.88,14070,1305.102,1304.895,1305.530667,1306.5645,1305.295589,1305.361136,1305.651324,1305.873031,1306.587202,1305.102,1303.616798,1307.155809,1306.613241,1307.006793,1306.851167,1406.0,1305.187778,1304.718667,1305.960727,24.55933185,29.4183519,16.27979718,-2.520897436,94.62915601,97.82833506,11.46942501,-0.065547106,-0.577442132,-0.511895026,-0.221707831,-0.531680856,1.05,-3.32,-3.1,0.144171779,0.080470253,-0.23682562,-0.19285165,49.5083588,51.59145621,73.99870248,67.96800922,83.10626703,73.99870248,100.0,90.63315044,52.91568613,-49.94594595,2.458685289,1.75,1305.71,25.13052895,0.81960015,2015,6,3,4,9,5
2015-06-03T09:10:00.000Z,1305.88,1306.5,1305.28,1305.75,10818,1305.512,1305.08,1305.250667,1306.3105,1305.44706,1305.431839,1305.663658,1305.861314,1306.056852,1305.512,1304.967148,1307.060483,1306.577091,1306.963892,1306.846457,1406.0,1305.45,1304.856,1305.674,19.89598907,28.16388622,16.19742315,-2.069935897,98.21428571,92.97520661,36.72272797,0.015220646,-0.414254634,-0.429475281,-0.197656004,-0.470511004,1.85,-4.2,-5.08,0.157244765,0.141882046,-0.387540718,-0.158369332,49.05987036,50.67452552,73.66885347,72.89474611,73.86759582,73.66885347,81.45537478,88.53169181,54.22376427,-48.57142857,2.370207769,1.22,1305.843333,24.65891988,0.562585823,2015,6,3,4,9,10
2015-06-03T09:15:00.000Z,1305.7,1305.98,1305.0,1305.63,13930,1305.538,1305.105,1304.959333,1306.0545,1305.50804,1305.467868,1305.659451,1305.839284,1306.090435,1305.538,1304.985565,1306.891913,1306.569863,1306.917986,1306.840275,1406.0,1305.597778,1305.004333,1305.452545,18.59040045,27.39331751,16.20000811,-1.854423077,12.82051282,51.3354145,45.94827586,0.040171502,-0.331244568,-0.37141607,-0.179833355,-0.426796608,0.25,-4.37,-5.12,0.009957871,0.019151511,-0.39061606,-0.141896758,48.62201741,49.74189234,75.55342467,74.40699354,69.68641115,75.55342467,63.35051846,81.60196441,56.31564768,-29.92,2.270907214,0.98,1305.536667,23.982985,1.126782909,2015,6,3,4,9,15
2015-06-03T09:20:00.000Z,1305.65,1305.95,1302.75,1304.28,14880,1305.344,1304.91,1304.762667,1305.871,1305.098693,1305.251892,1305.48702,1305.690781,1306.507759,1305.344,1304.180241,1306.655627,1306.448594,1306.853392,1306.823417,1406.0,1305.525556,1305.116333,1305.262182,27.11405282,28.91093896,16.78068156,-1.643141026,-166.6666667,-58.22461517,-37.63552961,-0.153199031,-0.592087875,-0.438888844,-0.203761456,-0.495375965,-1.95,-2.95,-3.67,-0.074315265,-0.149284582,-0.280591766,-0.125747159,43.87760925,40.22382084,61.45133566,70.22453793,40.8,61.45133566,0.0,48.26863108,57.23847902,-49.33333333,2.337270984,3.2,1304.326667,23.35754373,1.229757332,2015,6,3,4,9,20
2015-06-03T09:25:00.000Z,1304.28,1306.0,1304.1,1304.5,16156,1305.208,1304.967,1304.929333,1305.616,1304.899129,1305.115185,1305.363642,1305.577373,1306.560296,1305.208,1303.855704,1306.392421,1306.414113,1306.75888,1306.801705,1406.0,1305.258889,1305.238333,1305.092636,33.44586907,30.17960852,17.31174622,-1.52224359,-49.24242424,-10.10338346,5.574912892,-0.216055744,-0.678244541,-0.462188796,-0.213731185,-0.525911063,0.57,2.5,-5.1,-0.052100093,0.043714003,-0.389431888,-0.116512375,44.8225066,42.28079053,52.38435927,63.12970653,46.66666667,52.38435927,16.78102259,26.71051368,50.46842384,-50.0,2.306037342,1.9,1304.866667,22.96472461,1.078071191,2015,6,3,4,9,25
2015-06-03T09:30:00.000Z,1304.88,1307.7,1304.5,1305.58,40202,1305.148,1305.125,1304.979333,1305.435,1305.126086,1305.199696,1305.390687,1305.577623,1306.398498,1305.148,1303.897502,1306.136111,1306.372798,1306.729395,1306.779527,1406.0,1304.936667,1305.308667,1304.989,27.41872408,28.42161591,17.15809386,-1.453333333,74.24960506,96.48588259,102.3152641,-0.073610573,-0.451537623,-0.37792705,-0.186936612,-0.457687439,1.58,0.75,-3.62,-0.022973014,0.121165644,-0.276504736,-0.111248471,49.33238364,51.62087444,48.21279461,54.01616318,57.17171717,48.21279461,100.0,38.92700753,46.35256468,-41.81459566,2.369891818,3.2,1305.926667,22.79416262,0.355148959,2015,6,3,4,9,30
2015-06-03T09:35:00.000Z,1304.43,1306.48,1303.65,1305.48,42598,1305.094,1305.303,1305.084667,1305.2115,1305.244057,1305.250661,1305.401851,1305.568326,1306.25604,1305.094,1303.93196,1305.94113,1306.317586,1306.687345,1306.754236,1406.0,1304.925556,1305.307333,1304.948818,25.33079333,27.73222463,17.2332801,-1.189551282,4.538431827,-14.25753733,20.71020735,-0.006603475,-0.324268764,-0.317665289,-0.166474996,-0.406997278,1.78,1.58,-4.47,-0.020677771,0.136534479,-0.341234398,-0.0910661,48.93356949,50.75181364,52.996633,51.19792896,55.15151515,52.996633,92.68871413,69.82324557,48.62271461,-43.78698225,2.402756688,2.83,1305.203333,22.63894152,0.428726892,2015,6,3,4,9,35
