date,open,high,low,close,volume,sma5,sma10,sma15,sma20,ema5,ema10,ema15,ema20,upperband,middleband,lowerband,HT_TRENDLINE,KAMA10,KAMA20,KAMA30,SAR,TRIMA5,TRIMA10,TRIMA20,ADX5,ADX10,ADX20,APO,CCI5,CCI10,CCI15,macd510,macd520,macd1020,macd1520,macd1226,MOM10,MOM15,MOM20,ROC5,ROC10,ROC20,PPO,RSI14,RSI8,slowk,slowd,fastk,fastd,fastksr,fastdsr,ULTOSC,WILLR,ATR,Trange,TYPPRICE,HT_DCPERIOD,BETA,year,month,day,weekday,hour,minute
2015-07-13T04:30:00.000Z,1243.8,1244.68,1242.5,1244.68,22432,1245.752,1245.494,1242.581333,1240.6875,1245.097814,1244.125953,1242.685039,1241.473189,1248.39613,1245.752,1243.10787,1236.401882,1241.828301,1241.243138,1238.009507,1406.0,1245.793333,1246.173667,1240.810364,36.71943838,35.15936563,30.23342771,5.703141026,-98.99490569,-75.73564882,21.96723982,0.971860962,3.624624675,2.652763714,1.211849969,3.072099416,10.73,6.18,15.88,-0.146008825,0.869565217,1.292317708,0.460659725,59.68606806,58.39700226,21.89694042,31.88175231,37.91304348,21.89694042,18.17169728,6.057232427,49.30797366,-26.26702997,3.106653752,2.18,1243.953333,30.81619571,1.139565077,2015,7,13,2,4,30
2015-07-13T04:35:00.000Z,1244.68,1247.45,1244.0,1247.4,21386,1245.842,1246.159,1243.078,1241.5385,1245.865209,1244.721234,1243.274409,1242.037647,1248.667524,1245.842,1243.016476,1236.897643,1242.27671,1241.84411,1238.557121,1406.0,1245.293333,1246.274667,1241.744727,34.08763237,34.349816,29.60687768,5.993525641,29.1093357,19.75584754,54.83245954,1.143975045,3.827561873,2.683586829,1.236761901,3.152168039,6.65,7.45,17.02,0.036088055,0.53596615,1.383312473,0.483857162,64.06023184,66.14822545,41.04347826,29.32581857,85.2173913,41.04347826,67.22540179,28.46569969,56.47470584,-11.44414169,3.131178484,3.45,1246.283333,30.11590058,0.766849202,2015,7,13,2,4,35
2015-07-13T04:40:00.000Z,1247.4,1247.4,1244.88,1245.38,16304,1245.492,1246.049,1243.596667,1242.0325,1245.703473,1244.84101,1243.537608,1242.355967,1248.009376,1245.492,1242.974624,1237.537594,1242.314266,1242.015391,1238.914923,1406.0,1245.33,1246.110667,1242.574818,31.98218756,33.62122133,29.01165516,6.337179487,28.12727936,-14.35897436,43.50318418,0.862463026,3.347506155,2.485043129,1.181641443,3.017838123,-1.1,7.78,9.88,-0.14032218,-0.088248508,0.799676244,0.511348989,58.94512268,57.11630447,58.98740349,40.64260739,53.8317757,58.98740349,13.58107549,32.99272485,52.57833104,-22.45231608,3.087522878,2.52,1245.886667,29.02174558,0.758754566,2015,7,13,2,4,40
2015-07-13T04:45:00.000Z,1245.38,1246.28,1244.88,1245.03,12600,1245.248,1246.052,1244.18,1242.5265,1245.478982,1244.875372,1243.724157,1242.610637,1247.658424,1245.248,1242.837576,1238.317466,1242.326046,1242.161421,1239.278037,1406.0,1245.677778,1245.884333,1243.305364,30.29783172,32.96548613,28.44619376,6.080384615,15.69376882,-49.67153102,28.51161969,0.603610227,2.868345368,2.264735141,1.113520588,2.85028234,0.03,8.75,9.88,-0.097893681,0.002409639,0.799902846,0.490385388,58.07977098,55.61266317,63.38675937,54.47254704,51.11111111,63.38675937,0.235043611,27.0138403,49.58913374,-24.35967302,2.96698553,1.4,1245.396667,27.81251766,0.695684003,2015,7,13,2,4,45
2015-07-13T04:50:00.000Z,1245.03,1246.95,1245.03,1246.28,9278,1245.754,1245.935,1244.865333,1243.0655,1245.745988,1245.130759,1244.043637,1242.9601,1247.71431,1245.754,1243.79369,1239.210245,1242.385014,1242.379979,1239.79758,1406.0,1245.773333,1245.700667,1243.935727,30.96683553,32.74116939,28.00631968,5.362564103,55.66495996,12.91814746,39.88102032,0.615229293,2.785888215,2.170658922,1.08353776,2.786239692,-1.17,10.28,10.78,0.203417085,-0.093791334,0.872521246,0.432248455,60.32024743,59.9194353,60.43550773,60.93655686,76.36363636,60.43550773,37.46327432,17.09313114,51.87451358,-30.75453677,2.892200849,1.92,1246.086667,26.66157619,0.512700148,2015,7,13,2,4,50
2015-07-13T04:55:00.000Z,1246.73,1247.63,1246.0,1247.5,14108,1246.318,1246.035,1245.768667,1243.5155,1246.330659,1245.56153,1244.475683,1243.392471,1248.3395,1246.318,1244.2965,1240.230629,1242.449967,1242.604857,1240.333783,1406.0,1245.923333,1245.734333,1244.466545,33.40448768,32.91017265,27.68744412,4.878589744,143.7659033,81.95211786,79.85098801,0.769128826,2.938187449,2.169058624,1.08321162,2.801633746,1.0,13.55,9.0,0.226564257,0.080224629,0.726685507,0.393018477,62.43074024,63.83360613,74.63116009,66.15114239,96.41873278,74.63116009,72.75307657,36.8171315,56.96773788,-22.72727273,2.802043645,1.63,1247.043333,25.66947175,0.347261257,2015,7,13,2,4,55
2015-07-13T05:00:00.000Z,1247.0,1247.93,1246.53,1247.5,13720,1246.338,1246.09,1246.218667,1243.893,1246.720439,1245.913979,1244.853722,1243.783664,1248.403426,1246.338,1244.272574,1241.340534,1242.492711,1242.783655,1240.87478,1406.0,1246.308889,1245.832,1244.929636,36.18751635,33.22994988,27.42884939,4.163525641,97.13905522,95.70558325,96.96123698,0.806460157,2.936774687,2.13031453,1.07005805,2.781767165,0.55,6.75,7.55,0.008016675,0.044107623,0.60889552,0.335218787,62.43074024,63.83360613,86.22800283,73.76489021,85.90163934,86.22800283,100.0,70.07211696,62.21222697,-28.57142857,2.701897671,1.4,1247.32,24.83799403,0.286091381,2015,7,13,2,5,0
2015-07-13T05:05:00.000Z,1247.5,1248.0,1246.58,1247.8,14580,1246.822,1246.157,1246.306667,1244.403,1247.080293,1246.256892,1245.222007,1244.166173,1248.896778,1246.822,1244.747222,1242.354487,1242.543336,1243.086998,1241.435331,1406.0,1246.987778,1245.995333,1245.335182,38.63436303,33.55982986,27.19392115,3.601858974,72.3692159,103.623728,96.44670051,0.823400874,2.914120174,2.0907193,1.055834591,2.758432753,0.67,1.32,10.2,0.1943182,0.053723349,0.824175824,0.289840853,62.99209857,64.93348258,91.97003857,84.2764005,93.58974359,91.97003857,100.0,90.91769219,61.61013992,-24.28571429,2.610333551,1.42,1247.46,24.05098371,0.328813978,2015,7,13,2,5,5
2015-07-13T05:10:00.000Z,1247.8,1248.5,1247.13,1247.9,85504,1247.396,1246.322,1246.5,1244.984,1247.353528,1246.555639,1245.556756,1244.521775,1248.5568,1247.396,1246.2352,1243.252374,1242.666683,1243.461337,1242.025313,1406.0,1247.475556,1246.312667,1245.669091,42.2154552,34.17201354,27.04959982,3.204102564,98.55814836,109.9337748,110.2001447,0.797889697,2.831753319,2.033863622,1.034981084,2.716692883,1.65,2.9,11.62,0.230516534,0.132397192,0.939916524,0.257734564,63.18954178,65.33508792,87.40010555,88.53271565,82.70893372,87.40010555,100.0,100.0,55.54730983,-10.0,2.521738298,1.37,1247.843333,23.27402817,0.734374307,2015,7,13,2,5,10
2015-07-13T05:15:00.000Z,1248.0,1249.98,1247.75,1247.75,31966,1247.69,1246.722,1246.52,1245.5715,1247.485686,1246.772795,1245.830912,1244.829225,1248.014962,1247.69,1247.365038,1243.894865,1243.223463,1243.802751,1242.502587,1406.0,1247.716667,1246.719667,1245.948727,48.27926505,35.57003935,27.13879916,2.771153846,133.8305366,121.0781217,142.3809524,0.712890285,2.656460508,1.943570223,1.001686569,2.641065431,4.0,0.3,11.75,0.117951022,0.32160804,0.950647249,0.222821774,62.64960611,64.07705332,73.42284218,84.26432877,43.96984925,73.42284218,28.84362498,76.28120833,52.02047511,-29.81283422,2.500899848,2.23,1248.493333,22.55804046,0.316039898,2015,7,13,2,5,15
