date,open,high,low,close,volume,sma5,sma10,sma15,sma20,ema5,ema10,ema15,ema20,upperband,middleband,lowerband,HT_TRENDLINE,KAMA10,KAMA20,KAMA30,SAR,TRIMA5,TRIMA10,TRIMA20,ADX5,ADX10,ADX20,APO,CCI5,CCI10,CCI15,macd510,macd520,macd1020,macd1520,macd1226,MOM10,MOM15,MOM20,ROC5,ROC10,ROC20,PPO,RSI14,RSI8,slowk,slowd,fastk,fastd,fastksr,fastdsr,ULTOSC,WILLR,ATR,Trange,TYPPRICE,HT_DCPERIOD,BETA,year,month,day,weekday,hour,minute
2015-02-02T09:00:00.000Z,1250.53,1252.23,1250.3,1251.88,104976,1251.21,1251.198,1251.204,1250.8525,1251.283105,1251.157395,1251.031527,1250.898926,1252.15361,1251.21,1250.26639,1250.707683,1250.944154,1250.517077,1251.698168,1231.03,1251.196667,1251.029333,1251.064636,50.68313894,40.00151794,35.90341996,0.737628205,102.310231,59.60624576,39.31802366,0.125709721,0.384179106,0.258635731,0.138902313,0.385513802,0.6,2.85,1.4,0.070343725,0.047950898,0.111957009,0.058977392,55.79998345,56.88848343,54.28842832,51.1587826,81.86528497,54.28842832,100.0,66.66666667,52.31200992,-57.38203957,1.899700941,1.93,1251.47,24.30564723,0.057606626,2015,2,2,2,9,0
2015-02-02T09:05:00.000Z,1251.88,1251.9,1250.3,1251.0,50076,1251.204,1251.025,1251.287333,1250.88,1251.188736,1251.128778,1251.027586,1250.908552,1252.152481,1251.204,1250.255519,1250.722765,1250.946428,1250.520331,1251.682634,1231.03,1251.171111,1251.032333,1251.111727,50.84539479,40.67097912,36.09823176,0.448717949,-72.29580574,-5.233805234,-16.04471386,0.059958765,0.280184754,0.220362089,0.124547693,0.348299813,-1.73,1.25,0.55,-0.002398024,-0.138098393,0.043984166,0.035876208,51.99334611,49.78566887,40.04490501,46.16666667,36.26943005,40.04490501,26.03533228,42.01177743,49.05678599,-71.87017002,1.878293731,1.6,1251.066667,23.74466885,-0.26501907,2015,2,2,2,9,5
2015-02-02T09:10:00.000Z,1251.0,1251.73,1250.75,1251.48,48998,1251.294,1251.043,1251.386,1250.9265,1251.285824,1251.192636,1251.084138,1250.962975,1252.244755,1251.294,1250.343245,1250.742664,1250.949915,1250.528746,1251.676622,1231.03,1251.306667,1251.107,1251.139727,50.97519947,41.27349419,36.28330297,0.408461538,28.84615385,65.41387025,2.54841998,0.093188016,0.322848961,0.2297723,0.125986622,0.353464923,0.18,1.48,0.93,0.03597036,0.01438504,0.074367278,0.032656114,53.84299093,53.41171524,59.7582038,51.36384571,61.13989637,59.7582038,61.97475924,62.67003051,49.78606604,-64.45131376,1.814129893,0.98,1251.32,23.00214016,-0.744225703,2015,2,2,2,9,10
2015-02-02T09:15:00.000Z,1251.5,1251.8,1250.38,1251.8,44114,1251.338,1251.223,1251.432667,1251.05,1251.457216,1251.303066,1251.173621,1251.042692,1252.355636,1251.338,1250.320364,1250.772526,1251.005631,1250.555717,1251.680341,1231.03,1251.338889,1251.198,1251.177273,41.13279042,40.32295606,36.2343484,0.265576923,36.51059086,56.13668061,-4.793176328,0.154150152,0.414524231,0.260465187,0.135149743,0.379010637,1.8,0.7,2.47,0.017577782,0.144,0.19770597,0.021231514,55.08540905,55.84125007,58.37651123,52.72654001,77.72020725,58.37651123,86.1154996,58.04186371,54.81896607,-48.3234714,1.785977758,1.42,1251.326667,22.23482277,-0.840744505,2015,2,2,2,9,15
2015-02-02T09:20:00.000Z,1251.85,1254.5,1251.85,1253.0,51182,1251.832,1251.433,1251.369333,1251.2185,1251.971477,1251.611599,1251.401918,1251.229102,1253.15372,1251.832,1250.51028,1250.832976,1251.158308,1250.626391,1251.722111,1231.03,1251.657778,1251.318667,1251.227818,47.98746227,42.55211777,36.82858318,0.324551282,166.6666667,322.7192317,310.4025539,0.359877974,0.742375211,0.38257178,0.17650924,0.490432371,2.1,-0.95,3.37,0.197516253,0.167879127,0.269679825,0.025944497,59.48911032,63.90772641,67.71527264,61.94999589,64.28571429,67.71527264,100.0,82.69675295,55.94785995,-33.33333333,1.851265061,2.7,1253.116667,21.53189672,0.505596914,2015,2,2,2,9,20
2015-02-02T09:25:00.000Z,1253.0,1255.0,1252.5,1254.78,65638,1252.412,1251.811,1251.602667,1251.506,1252.907652,1252.187672,1251.824178,1251.567283,1255.123469,1252.412,1249.700531,1250.928604,1251.63406,1250.85413,1251.821633,1231.03,1252.237778,1251.548333,1251.301182,54.19853695,44.87653055,37.48954336,0.529423077,111.9846671,209.9356134,278.001245,0.719979334,1.340368653,0.620450309,0.260127066,0.714133931,3.78,3.5,5.75,0.231651596,0.302158273,0.460357237,0.04231532,64.97483526,72.44168389,79.10835683,68.4000469,95.31914894,79.10835683,100.0,95.3718332,59.04856394,-4.4,1.897603271,2.5,1254.093333,20.89129661,0.484036832,2015,2,2,2,9,25
2015-02-02T09:30:00.000Z,1254.88,1260.5,1254.88,1260.18,110214,1254.248,1252.726,1252.099333,1252.0275,1255.331768,1253.640823,1252.868656,1252.387542,1260.615648,1254.248,1247.880352,1251.13278,1253.669322,1251.778504,1252.403856,1231.03,1253.757778,1252.054667,1251.439818,61.97698177,48.71236055,38.86905012,0.929679487,153.4287645,241.8378882,332.4786901,1.690944964,2.94422601,1.253330947,0.483942046,1.312029638,9.15,7.45,10.43,0.73381295,0.731397329,0.834566913,0.074284555,75.71753537,84.85631007,85.48093596,77.43485514,96.83794466,85.48093596,100.0,100.0,71.9050237,-3.047619048,2.170631609,5.72,1258.52,20.30495919,0.409093441,2015,2,2,2,9,30
2015-02-02T09:35:00.000Z,1260.5,1260.7,1257.13,1257.13,63852,1255.378,1253.336,1252.488,1252.384,1255.931179,1254.275219,1253.401324,1252.839204,1261.374217,1255.378,1249.381783,1251.361073,1253.966881,1252.03389,1252.574767,1231.03,1255.514444,1252.750333,1251.622273,68.24059611,52.19844633,40.19946432,1.183589744,80.84180453,150.1916824,205.0511124,1.655959855,3.091974066,1.436055039,0.564593881,1.522209698,6.1,5.83,7.13,0.451465465,0.487598219,0.5704,0.094553437,63.81252084,65.73984213,85.85469011,83.48132763,65.40697674,85.85469011,42.2986543,80.7662181,61.22587322,-33.36448598,2.270586494,3.57,1258.32,19.79902166,0.293456349,2015,2,2,2,9,35
2015-02-02T09:40:00.000Z,1257.13,1257.15,1254.0,1254.0,56592,1255.818,1253.578,1252.754667,1252.529,1255.287452,1254.225179,1253.476159,1252.949756,1260.961701,1255.818,1250.674299,1251.540782,1253.967555,1252.063577,1252.594311,1231.03,1256.817778,1253.504333,1251.817364,59.0846323,50.5667843,40.15640506,1.298397436,-24.67948718,42.71319136,75.18441596,1.062273441,2.337695939,1.275455903,0.528567133,1.419846956,2.42,4.0,2.9,0.175746924,0.193355599,0.23179602,0.103714086,54.36566391,52.00046155,62.17956891,77.83839833,24.29378531,62.17956891,0.0,47.43288477,53.95289712,-64.42307692,2.333401744,3.15,1255.05,19.40481888,0.561155116,2015,2,2,2,9,40
2015-02-02T09:45:00.000Z,1254.03,1255.93,1253.78,1254.7,59154,1256.158,1253.995,1253.008,1252.5665,1255.091635,1254.31151,1253.629139,1253.116446,1260.70138,1256.158,1251.61462,1251.708764,1253.997384,1252.08078,1252.640482,1231.03,1256.581111,1254.307667,1252.046,50.99589243,48.82807651,40.03501647,1.397692308,-49.86741308,26.52436011,56.74574947,0.780124886,1.975188627,1.195091072,0.514586825,1.37930809,4.17,3.8,0.75,0.135674381,0.333458614,0.059810997,0.111627198,55.9367373,54.43446197,38.84334345,62.29253416,26.82926829,38.84334345,7.358012615,16.55222231,52.58871884,-57.69230769,2.32030162,2.15,1254.803333,19.19076317,0.558790528,2015,2,2,2,9,45
